job_id,topology,p_ws,gamma,epsilon,init_dist,run,n_clusters,polarised,std_opinion,mean_cluster_size,max_cluster_frac,convergence_step
78,ws,0.0,0.0,0.1,bimodal,28,6,True,0.29719081341882486,166.66666666666666,0.476,1000
79,ws,0.0,0.0,0.1,bimodal,29,7,True,0.30160591259506386,142.85714285714286,0.47,1000
80,ws,0.0,0.0,0.1,bimodal,30,8,True,0.3013893081144553,125.0,0.342,1000
81,ws,0.0,0.0,0.1,bimodal,31,8,True,0.298898731766824,125.0,0.471,1000
82,ws,0.0,0.0,0.1,bimodal,32,6,True,0.29949956130548655,166.66666666666666,0.469,1000
83,ws,0.0,0.0,0.1,bimodal,33,7,True,0.30135986508344387,142.85714285714286,0.477,1000
84,ws,0.0,0.0,0.1,bimodal,34,7,True,0.3010769754712562,142.85714285714286,0.464,1000
85,ws,0.0,0.0,0.1,bimodal,35,6,True,0.3039201477348923,166.66666666666666,0.473,1000
86,ws,0.0,0.0,0.1,bimodal,36,6,True,0.30488226801232665,166.66666666666666,0.469,1000
87,ws,0.0,0.0,0.1,bimodal,37,7,True,0.30147868689999113,142.85714285714286,0.434,1000
88,ws,0.0,0.0,0.1,bimodal,38,6,True,0.30343730732070556,166.66666666666666,0.422,1000
89,ws,0.0,0.0,0.1,bimodal,39,7,True,0.3002840614723946,142.85714285714286,0.471,1000
90,ws,0.0,0.0,0.1,bimodal,40,6,True,0.2983980889495106,166.66666666666666,0.472,1000
91,ws,0.0,0.0,0.1,bimodal,41,6,True,0.30002129697607527,166.66666666666666,0.467,1000
92,ws,0.0,0.0,0.1,bimodal,42,6,True,0.30476786250662496,166.66666666666666,0.466,1000
93,ws,0.0,0.0,0.1,bimodal,43,7,True,0.29859038534690313,142.85714285714286,0.448,1000
94,ws,0.0,0.0,0.1,bimodal,44,6,True,0.3012940903184454,166.66666666666666,0.485,1000
95,ws,0.0,0.0,0.1,bimodal,45,6,True,0.30214767358310707,166.66666666666666,0.435,1000
96,ws,0.0,0.0,0.1,bimodal,46,6,True,0.3002094587832542,166.66666666666666,0.462,1000
97,ws,0.0,0.0,0.1,bimodal,47,7,True,0.3023126129761992,142.85714285714286,0.451,1000
98,ws,0.0,0.0,0.1,bimodal,48,7,True,0.3028034592553506,142.85714285714286,0.487,1000
99,ws,0.0,0.0,0.1,bimodal,49,7,True,0.2998258060930938,142.85714285714286,0.46,1000
100,ws,0.0,0.0,0.2,uniform,0,5,True,0.2647401215933298,200.0,0.234,1000
101,ws,0.0,0.0,0.2,uniform,1,5,True,0.2730632025721897,200.0,0.23,1000
102,ws,0.0,0.0,0.2,uniform,2,5,True,0.26149313725126716,200.0,0.266,1000
103,ws,0.0,0.0,0.2,uniform,3,5,True,0.2702058337195392,200.0,0.246,1000
104,ws,0.0,0.0,0.2,uniform,4,5,True,0.2721549914000971,200.0,0.24,1000
105,ws,0.0,0.0,0.2,uniform,5,5,True,0.27284616806374473,200.0,0.278,1000
106,ws,0.0,0.0,0.2,uniform,6,5,True,0.27151615581113214,200.0,0.227,1000
107,ws,0.0,0.0,0.2,uniform,7,5,True,0.27047614664856157,200.0,0.25,1000
108,ws,0.0,0.0,0.2,uniform,8,5,True,0.26840922944514983,200.0,0.236,1000
109,ws,0.0,0.0,0.2,uniform,9,5,True,0.27605327184545037,200.0,0.296,1000
110,ws,0.0,0.0,0.2,uniform,10,5,True,0.2752878859139457,200.0,0.266,2000
111,ws,0.0,0.0,0.2,uniform,11,5,True,0.2650920988166404,200.0,0.277,1000
112,ws,0.0,0.0,0.2,uniform,12,5,True,0.2632388228746482,200.0,0.254,1000
113,ws,0.0,0.0,0.2,uniform,13,5,True,0.26756257433211433,200.0,0.3,1000
114,ws,0.0,0.0,0.2,uniform,14,5,True,0.2767532145193779,200.0,0.264,1000
115,ws,0.0,0.0,0.2,uniform,15,5,True,0.26671121223115235,200.0,0.286,1000
116,ws,0.0,0.0,0.2,uniform,16,5,True,0.2754844779283305,200.0,0.231,1000
117,ws,0.0,0.0,0.2,uniform,17,5,True,0.2761200307912393,200.0,0.228,1000
118,ws,0.0,0.0,0.2,uniform,18,5,True,0.26965146982207633,200.0,0.265,1000
119,ws,0.0,0.0,0.2,uniform,19,5,True,0.26776410543409107,200.0,0.24,1000
120,ws,0.0,0.0,0.2,uniform,20,5,True,0.2707168362112875,200.0,0.242,1000
121,ws,0.0,0.0,0.2,uniform,21,5,True,0.27577463488536286,200.0,0.292,1000
122,ws,0.0,0.0,0.2,uniform,22,5,True,0.2606311045955742,200.0,0.259,1000
